Name,Category,Link for headshot,Linkedin,Logos,Bio,,,,,,,,,,,,,,,,,,,
Princeton Graham,Regulatory,https://www.fsvector.com/team/princeton-graham,https://www.linkedin.com/in/princeton-graham/,"FS Vector, QED Investors, Treliant, FS Vector","Princeton Graham is a Managing Principal at FS Vector, advising fintech and traditional financial institutions on operational strategy, regulatory analysis, licensing, partnerships, and building risk/compliance programs. Before FS Vector, he worked at Treliant and supported a private family office, and also spent time at QED Investors. He has also worked with U.S. Senators Tim Kaine and Mark Warner.",,,,,,,,,,,,,,,,,,,
Ciara Burnham,Strategy,https://business.columbia.edu/people/ciara-burnham-93,https://www.linkedin.com/in/ciara-burnham-5a963a14/,"Evercore, McKinsey, Alliance Bernstein, QED","Ciara Burnham is a financial services executive, board director, and investor with decades of experience across investment banking and fintech. She spent roughly two decades as a senior managing director at Evercore, helping build the firm’s investment banking and investment management platform globally. She has also advised early-stage fintech companies and served as a senior advisor and partner with QED Investors, after earlier roles at Sanford Bernstein and McKinsey.",,,,,,,,,,,,,,,,,,,
Alex Simpson,,https://missionmatters.com/unlocking-liquidity-in-private-markets-with-alexander-simpson-of-liquid-lp,https://www.linkedin.com/in/alsimpson1/,LiquidLP,"Alex Simpson is the co-founder and CEO of LiquidLP, building liquidity solutions for private-market investors. A South Africa-born entrepreneur with 15+ years in fintech and three exits, he also invests and advises across the ecosystem, specializing in LP loans and private-fund NAV lending for family offices and RIAs. He is a quiet achiever and deeply relationship-driven.",,,,,,,,,,,,,,,,,,,
Asheet Mehta,Corporate Strategy,https://www.piramalfinance.com/about-us/board-of-director/asheet-mehta,https://www.linkedin.com/in/asheet-mehta-37630957/,McKinsey,"Asheet Mehta previously led McKinsey’s Financial Services Practice in the Americas and co-led it globally, and served on the Firm’s Shareholders Council. His work spans insurers, payments, wealth/asset managers, and banks, supporting end-to-end transformations from operating model to platform redesign. He also serves on the Risk committees of the boards of Piramal and Pagaya.",,,,,,,,,,,,,,,,,,,
Sanjay Sachdev,India,https://apis.pe/team/sanjay-sachdev/,https://www.linkedin.com/in/sanjay-s-2254a1/,"Tata Asset Management, Principal PNB Asset Management, Shinsei Bank of Japan, ","Sanjay is based in India and the US and has spent over 25 years building game-changing asset management businesses in a number of Growth Markets. He is currently the Chairman of Zyfin, a smart beta asset management company based in India.He has served as the President and Chief Executive Officer at Tata Asset Management, based in India. Prior to joining Tata, Sanjay also served as the Chief Executive Officer at Principal PNB Asset Management and as Regional Head of Asset Management for S.E Asia for Shinsei Bank of Japan. He was also Managing Director and Country Manager for India at Principal International Inc and at The Principal International for 12 years, 9 of them in India.",,,,,,,,,,,,,,,,,,,
Harvey Hudes,PR & Communications,https://www.calibercorporate.com/team/harvey-hudes/,https://www.linkedin.com/in/harveyhudes/,Caliber Corporate Advisers,"Harvey Hudes is founder of Caliber, an Inc 5000 marketing communications firm focused on helping financial services, fintechs, insurtechs, & proptechs increase their visibility and credibility. Harvey started the firm after seeing a gap between fintech innovation and financial-services storytelling while working in financial media. They have since collaborated with more than 300 companies, including Goldman Sachs, Blackstone, KKR, and Berkshire Hathaway portfolio companies, financial institutions, investors, and numerous other industry-leading and growth-stage companies. 
Harvey is an active investor in the fintech ecosystem and holds Advisory Board positions with a number of innovating organizations. 
He also owns The Financial Revolutionist, a media outlet providing readers with financial innovation insights and intelligence. ",,,,,,,,,,,,,,,,,,,
Jeff Holland,,https://www.empowersemi.com/company/board-of-directors/, ,"Brown Brothers Harriman, Accenture, Eurex","Jeff Holland brings over 30 years of global financial services experience and is a retired partner at Brown Brothers Harriman (BBH), where he served as Global Head of the Financial Institutions Group and directed or chaired BBH’s non-U.S. subsidiaries in Europe and Asia. Prior to BBH, he worked at Accenture across Boston, New York, and Frankfurt, advising financial institutions. Since retiring, Jeff has focused on advising and investing in emerging companies and supporting philanthropic initiatives. He currently serves on the boards of Sanford C. Bernstein Funds, United Way of Mass Bay, and the Francis Ouimet Scholarship Fund, advises Novaya Real Estate Ventures and is President of the Governors Island Club. Jeff holds a B.S. in Management and Finance from Clarkson University and resides in Boston with his family.
",,,,,,,,,,,,,,,,,,,
Michael Lincoln,Legal,https://www.cooley.com/people/mike-lincoln,https://www.linkedin.com/in/mike-lincoln-b5262/,Cooley,"Mike is the vice chair of Cooley and works with the firm’s senior leadership team on matters of client relations, strategic planning, lateral growth and communications. His practice focuses on emerging companies, venture capital and M&A. In 1999, Mike co-founded Cooley’s first East Coast office in Reston, Virginia.",,,,,,,,,,,,,,,,,,,
Miles Reidy,CFO Advisory,https://www.qedinvestors.com/team/miles-reidy,https://www.linkedin.com/in/miles-reidy-3a99798/,"Capital One, Sears, Audax Health, Network Solutions, QED ","Miles Reidy previously was a Partner at QED. Prior to QED, Miles served as the Chief Financial Officer for Audax Health, Inc. and was Chief Operating Officer and Chief Financial Officer for Network Solutions. He also served as Executive Vice President and Chief Financial Officer for Sears Holdings Corporation. Miles spent almost a decade in several executive roles at Capital One Financial Corporation, a publicly traded consumer finance bank. Miles also serves on the Boards of the Royal Bank of Canada, US, Heinz School of Public Policy at Carnegie Mellon University, and the Easter Seals of Baltimore/Washington. He holds a B.S. from Georgetown University and a M.S. from Carnegie-Mellon University.",,,,,,,,,,,,,,,,,,,
Oliver Goldstein,PE Investing,https://natanrelief.org/wp-content/uploads/2024/12/Copy-of-OliverGoldstein.pdf,https://www.linkedin.com/in/oliver-goldstein-97974b14/,"TPG, Warburg Pincus, Pine Brook Partners",Oliver Goldstein is a private equity investor currently serving as a Partner at Newlight Partners. He previously co-led financial services and fintech investing at TPG’s Rise Fund and earlier was a Managing Director at Pine Brook. His career spans growth and buyout investing across financial services and technology-enabled businesses.,,,,,,,,,,,,,,,,,,,
